Ag-q11 	View Revision Graph 	 1.1 	 4 years 	 krack 	 ABINIT format (initial version of database)
Al-q3 	View Revision Graph 	 1.2 	 4 years 	 krack 	 Provide full GTH PP parameter set for future use. This is only needed when the s…
Ar-q8 	View Revision Graph 	 1.2 	 4 years 	 krack 	 Provide full GTH PP parameter set for future use. This is only needed when the s…
As-q5 	View Revision Graph 	 1.1 	 4 years 	 krack 	 ABINIT format (initial version of database)
At-q7 	View Revision Graph 	 1.1 	 2 years 	 krack 	 Completing main group elements Cs-Rn for PBE
Au-q11 	View Revision Graph 	 1.1 	 4 years 	 krack 	 ABINIT format (initial version of database)
Au-q19 	View Revision Graph 	 1.1 	 2 years 	 krack 	 Au-q19 for PBE
B-q3 	View Revision Graph 	 1.2 	 4 years 	 krack 	 Provide full GTH PP parameter set for future use. This is only needed when the s…
Ba-q10 	View Revision Graph 	 1.1 	 2 years 	 vondele 	 added a pbe Ba-q10
Be-q4 	View Revision Graph 	 1.1 	 4 years 	 krack 	 ABINIT format (initial version of database)
Bi-q5 	View Revision Graph 	 1.1 	 2 years 	 krack 	 Pb-q4 and Bi-q5 for PBE
Br-q7 	View Revision Graph 	 1.1 	 4 years 	 krack 	 ABINIT format (initial version of database)
C-q4 	View Revision Graph 	 1.2 	 4 years 	 krack 	 Provide full GTH PP parameter set for future use. This is only needed when the s…
Ca-q10 	View Revision Graph 	 1.1 	 4 years 	 krack 	 ABINIT format (initial version of database)
Cd-q12 	View Revision Graph 	 1.1 	 2 years 	 krack 	 Completing period 5 (H-Xe)
Cl-q7 	View Revision Graph 	 1.2 	 4 years 	 krack 	 Provide full GTH PP parameter set for future use. This is only needed when the s…
Co-q17 	View Revision Graph 	 1.1 	 2 years 	 krack 	 Completing period 5 (H-Xe)
Cr-q14 	View Revision Graph 	 1.1 	 4 years 	 krack 	 ABINIT format (initial version of database)
Cs-q9 	View Revision Graph 	 1.1 	 2 years 	 krack 	 Cs-q9 for PBE
Cu-q11 	View Revision Graph 	 1.1 	 4 years 	 krack 	 ABINIT format (initial version of database)
F-q7 	View Revision Graph 	 1.2 	 4 years 	 krack 	 Provide full GTH PP parameter set for future use. This is only needed when the s…
Fe-q16 	View Revision Graph 	 1.1 	 4 years 	 krack 	 ABINIT format (initial version of database)
Ga-q13 	View Revision Graph 	 1.2 	 18 months 	 krack 	 * Fix error in the electronic configuration (thanks to Matt). * Refitted.
Ga-q3 	View Revision Graph 	 1.1 	 2 years 	 krack 	 Completing period 5 (H-Xe)
Ge-q4 	View Revision Graph 	 1.1 	 4 years 	 krack 	 ABINIT format (initial version of database)
H-q1 	View Revision Graph 	 1.1 	 4 years 	 krack 	 ABINIT format (initial version of database)
He-q2 	View Revision Graph 	 1.1 	 4 years 	 krack 	 ABINIT format (initial version of database)
Hf-q12 	View Revision Graph 	 1.1 	 2 years 	 krack 	 Hf-q12 for PBE
Hg-q12 	View Revision Graph 	 1.1 	 2 years 	 krack 	 Sr-q10 for BLYP, La-q11 and Hg-q12 for PBE
I-q7 	View Revision Graph 	 1.1 	 2 years 	 krack 	 Completing period 5 (H-Xe)
In-q13 	View Revision Graph 	 1.1 	 2 years 	 krack 	 Completing period 5 (H-Xe)
In-q3 	View Revision Graph 	 1.1 	 2 years 	 krack 	 Completing period 5 (H-Xe)
Ir-q17 	View Revision Graph 	 1.1 	 2 years 	 krack 	 Ir-q9 and Ir-q17 for PBE
Ir-q9 	View Revision Graph 	 1.1 	 2 years 	 krack 	 Ir-q9 and Ir-q17 for PBE
K-q9 	View Revision Graph 	 1.1 	 4 years 	 krack 	 ABINIT format (initial version of database)
Kr-q8 	View Revision Graph 	 1.1 	 4 years 	 krack 	 ABINIT format (initial version of database)
La-q11 	View Revision Graph 	 1.1 	 2 years 	 krack 	 Sr-q10 for BLYP, La-q11 and Hg-q12 for PBE
Li-q3 	View Revision Graph 	 1.1 	 4 years 	 krack 	 ABINIT format (initial version of database)
Mg-q10 	View Revision Graph 	 1.1 	 4 years 	 krack 	 ABINIT format (initial version of database)
Mg-q2 	View Revision Graph 	 1.1 	 4 years 	 krack 	 ABINIT format (initial version of database)
Mn-q15 	View Revision Graph 	 1.1 	 4 years 	 krack 	 ABINIT format (initial version of database)
Mo-q14 	View Revision Graph 	 1.1 	 2 years 	 krack 	 Completing period 5 (H-Xe)
N-q5 	View Revision Graph 	 1.2 	 4 years 	 krack 	 Provide full GTH PP parameter set for future use. This is only needed when the s…
Na-q9 	View Revision Graph 	 1.1 	 4 years 	 krack 	 ABINIT format (initial version of database)
Nb-q13 	View Revision Graph 	 1.1 	 2 years 	 krack 	 Completing period 5 (H-Xe)
Ne-q8 	View Revision Graph 	 1.1 	 4 years 	 krack 	 ABINIT format (initial version of database)
Ni-q18 	View Revision Graph 	 1.1 	 4 years 	 krack 	 ABINIT format (initial version of database)
O-q6 	View Revision Graph 	 1.2 	 4 years 	 krack 	 Provide full GTH PP parameter set for future use. This is only needed when the s…
Os-q16 	View Revision Graph 	 1.1 	 2 years 	 krack 	 Os-q16 and Os-q8 for PBE
Os-q8 	View Revision Graph 	 1.1 	 2 years 	 krack 	 Os-q16 and Os-q8 for PBE
P-q5 	View Revision Graph 	 1.2 	 4 years 	 krack 	 Provide full GTH PP parameter set for future use. This is only needed when the s…
Pb-q4 	View Revision Graph 	 1.1 	 2 years 	 krack 	 Pb-q4 and Bi-q5 for PBE
Pd-q10 	View Revision Graph 	 1.1 	 2 years 	 krack 	 Pd-q10 for PBE
Pd-q18 	View Revision Graph 	 1.1 	 2 years 	 krack 	 Ru, Rh, and Pd for BLYP and PBE in Abinit format
Po-q6 	View Revision Graph 	 1.1 	 2 years 	 krack 	 Completing main group elements Cs-Rn for PBE
Pt-q10 	View Revision Graph 	 1.1 	 4 years 	 krack 	 ABINIT format (initial version of database)
Pt-q18 	View Revision Graph 	 1.1 	 4 years 	 krack 	 ABINIT format (initial version of database)
Rb-q9 	View Revision Graph 	 1.1 	 2 years 	 krack 	 Completing period 5 (H-Xe)
Re-q15 	View Revision Graph 	 1.1 	 2 years 	 krack 	 * Re-q15, Re-q7, W-q14, W-q6, Ta-q13, and Ta-q5 for PBE added * Mg-q2 for BLYP a…
Re-q7 	View Revision Graph 	 1.1 	 2 years 	 krack 	 * Re-q15, Re-q7, W-q14, W-q6, Ta-q13, and Ta-q5 for PBE added * Mg-q2 for BLYP a…
Rh-q17 	View Revision Graph 	 1.1 	 2 years 	 krack 	 PBE for Rh
Rh-q9 	View Revision Graph 	 1.1 	 2 years 	 marcella 	 rhodium q9
Rn-q8 	View Revision Graph 	 1.1 	 2 years 	 krack 	 Completing main group elements Cs-Rn for PBE
Ru-q16 	View Revision Graph 	 1.1 	 2 years 	 krack 	 Ru, Rh, and Pd for BLYP and PBE in Abinit format
Ru-q8 	View Revision Graph 	 1.1 	 11 months 	 krack 	 Ru-q8 GTH PP for PBE
S-q6 	View Revision Graph 	 1.2 	 4 years 	 krack 	 Provide full GTH PP parameter set for future use. This is only needed when the s…
Sb-q5 	View Revision Graph 	 1.1 	 4 years 	 krack 	 ABINIT format (initial version of database)
Sc-q11 	View Revision Graph 	 1.1 	 4 years 	 krack 	 ABINIT format (initial version of database)
Se-q6 	View Revision Graph 	 1.1 	 4 years 	 krack 	 ABINIT format (initial version of database)
Si-q4 	View Revision Graph 	 1.2 	 4 years 	 krack 	 Provide full GTH PP parameter set for future use. This is only needed when the s…
Sn-q4 	View Revision Graph 	 1.1 	 2 years 	 krack 	 Completing period 5 (H-Xe)
Sr-q10 	View Revision Graph 	 1.1 	 2 years 	 krack 	 Completing period 5 (H-Xe)
Ta-q13 	View Revision Graph 	 1.1 	 2 years 	 krack 	 * Re-q15, Re-q7, W-q14, W-q6, Ta-q13, and Ta-q5 for PBE added * Mg-q2 for BLYP a…
Ta-q5 	View Revision Graph 	 1.1 	 2 years 	 krack 	 * Re-q15, Re-q7, W-q14, W-q6, Ta-q13, and Ta-q5 for PBE added * Mg-q2 for BLYP a…
Tc-q15 	View Revision Graph 	 1.1 	 2 years 	 krack 	 Completing period 5 (H-Xe)
Te-q6 	View Revision Graph 	 1.1 	 4 years 	 krack 	 ABINIT format (initial version of database)
Ti-q12 	View Revision Graph 	 1.1 	 4 years 	 krack 	 ABINIT format (initial version of database)
Tl-q13 	View Revision Graph 	 1.1 	 2 years 	 krack 	 Completing main group elements Cs-Rn for PBE
Tl-q3 	View Revision Graph 	 1.1 	 2 years 	 krack 	 Completing main group elements Cs-Rn for PBE
V-q13 	View Revision Graph 	 1.1 	 4 years 	 krack 	 ABINIT format (initial version of database)
W-q14 	View Revision Graph 	 1.1 	 2 years 	 krack 	 * Re-q15, Re-q7, W-q14, W-q6, Ta-q13, and Ta-q5 for PBE added * Mg-q2 for BLYP a…
W-q6 	View Revision Graph 	 1.1 	 2 years 	 krack 	 * Re-q15, Re-q7, W-q14, W-q6, Ta-q13, and Ta-q5 for PBE added * Mg-q2 for BLYP a…
Xe-q8 	View Revision Graph 	 1.1 	 2 years 	 krack 	 Completing period 5 (H-Xe)
Y-q11 	View Revision Graph 	 1.2 	 2 years 	 krack 	 New BLYP PP and improved PBE PP for Y
Zn-q12 	View Revision Graph 	 1.1 	 4 years 	 krack 	 ABINIT format (initial version of database)
Zr-q12 	View Revision Graph 	 1.1 	 4 years 	 krack 	 ABINIT format (initial version of database) 
