# Vasp Spin-Orbit coupling results for delta factor
# Symbol    Volume    b0_GPa   b1
H      17.4064  10.2518   2.7734
He     18.1630   0.8496   1.9029
Li     20.2714  14.2295   4.2366
Be      7.9319 123.9956   2.7066
C      11.6664 207.3975   3.4405
N      29.6842  56.5963   3.8766
O      18.8468 579.3606  58.3316
F      19.5655  33.8866   3.9768
Ne     24.6416   0.9167  -9.0322
Na     37.0909   7.7334   3.9643
Mg     22.9667  36.2140   3.8010
Al     16.4863  76.6558   4.6923
Si     20.4418  88.4045   4.4311
P      21.3513  68.4682   4.5874
Cl     38.2195  19.0971   4.5184
Ar     52.0522   1.3132 -25.2731
K      73.2785   4.0513  11.0139
Ca     42.2986  17.2688   3.3579
Sc     24.6770  52.5658   1.9362
V      13.4784 181.8978   3.9805
Mn     10.9183 373.8124   8.2210
Co     10.7621 1551.7571  41.9269
Ni     10.8658 201.1082   4.7948
Cu     12.0042 138.0046   5.4332
Zn     15.2894  74.2607   5.1729
Ge     23.9113  58.6866   4.6182
As     22.6909  68.2519   4.7604
Se     29.8630  46.6290   4.8551
Kr     67.7433  10.2461 -21.9869
Rb     91.1626   2.8153   3.8189
Sr     54.5907  10.5893   5.6689
Y      32.9027  41.5306   3.3638
Zr     23.5280  93.7321   3.2773
Nb     18.3356 171.7008   4.0120
Mo     15.9262 262.5804   4.5291
Tc     14.6073 297.4987   4.7023
Ru     13.9501 307.6174   5.0718
Pd     15.4547 166.4088   5.8297
Ag     18.0200  89.2094   6.5709
Cd     22.9679  43.9724   7.6047
Sn     36.8446  36.5326   5.3577
Sb     31.8661  50.9077   4.2905
I      50.9678  16.9788   5.1216
Xe     85.0297   2.2811  35.6191
Ba     63.3503   8.8362   3.7545
Hf     22.4212 107.3535   3.4885
Ta     18.3022 192.9954   4.0771
W      16.2796 297.7357   4.1560
Os     14.4445 387.6041   5.0172
Ir     14.6123 337.1401   5.2159
Pt     15.7783 242.1411   5.5209
Au     18.0513 141.2070   5.8702
Hg     28.1830  11.6791   9.6908
Tl     31.1718  27.1692   5.3943
Pb     32.3000  36.7099   3.6693
Bi     37.8908  36.5558   4.9529
