# GPAW version 0.9.0 setups 0.9 -- calculations by Marcin Dulak

H	17.459	10.34	2.705
He	17.264	1.047	6.06
Li	20.259	14.058	3.365
Be	8.008	123.494	3.348
B	7.241	237.967	3.464
C	11.645	209.686	3.566
N	28.797	54.159	3.694
O	18.525	51.715	3.895
F	19.049	37.197	3.735
Ne	23.938	1.43	6.456
Na	37.321	7.609	-1.136
Mg	22.892	36.231	4.033
Al	16.517	77.66	4.609
Si	20.52	88.516	4.326
P	21.532	68.002	4.348
S	17.187	84.008	4.207
Cl	38.949	19.016	4.378
Ar	52.201	0.788	7.033
K	73.563	3.608	3.772
Ca	42.395	17.422	3.273
Sc	24.573	54.613	3.393
Ti	17.437	112.194	3.594
V	13.543	182.429	3.802
Cr	11.852	161.406	7.241
Mn	11.471	121.43	0.493
Fe	11.472	193.38	5.62
Co	10.91	215.828	5.115
Ni	10.982	203.94	4.947
Cu	12.081	137.188	5.078
Zn	15.122	76.379	5.407
Ga	20.538	49.728	5.378
Ge	23.967	60.21	4.906
As	22.637	68.795	4.294
Se	29.761	47.304	4.481
Br	39.768	22.302	4.866
Kr	66.26	0.636	7.271
Rb	91.121	2.786	3.77
Sr	54.662	12.391	4.328
Y	32.858	41.22	3.014
Zr	23.323	93.99	3.322
Nb	18.034	170.426	3.92
Mo	15.765	259.394	4.367
Ru	13.735	309.531	4.858
Rh	14.137	253.502	5.26
Pd	15.304	169.253	5.614
Ag	17.807	92.333	5.751
Cd	22.575	46.346	6.714
In	27.244	36.05	5.299
Sn	36.581	36.313	4.912
Sb	31.593	50.484	4.485
Te	34.708	45.262	4.716
I	50.594	18.551	5.083
Xe	87.204	0.529	7.235
Cs	117.31	1.961	3.492
Ba	63.575	8.813	2.853
Hf	22.586	108.63	3.452
Ta	18.302	193.805	3.813
W	16.115	304.826	4.245
Re	14.926	365.244	4.435
Os	14.194	400.169	4.813
Ir	14.452	348.912	5.111
Pt	15.613	246.217	5.496
Au	18.208	138.897	5.823
Hg	28.515	10.958	11.346
Tl	31.107	27.488	5.364
Pb	31.872	37.943	4.848
Bi	36.831	42.751	4.64
Rn	93.543	0.523	7.228

# GPAW version 0.8.0 setups 0.6 -- by Kurt Lejaeghere

H	17.46488	10.332	2.932
He	17.69277	0.841	6.728
Li	20.27792667	14.0	3.412
Be	8.008550	123.3	3.371
B	7.241645833	237.1	3.527
C	11.64785	208.7	3.623
N	28.91047125	54.0	3.666
O	19.2798325	53.6	3.964
F	19.20652125	33.7	4.501
Ne	23.750585	2.1	20.674
Na	37.04469	7.8	3.913
Mg	22.970785	36.255	4.182
Al	16.514695	78.209	4.61
Si	20.521075	88.83	4.361
P	21.5305425	68.072	4.436
S	17.22410	83.735	4.316
Cl	38.9531775	19.016	4.59
Ar	52.66127	0.838	3.274
K	73.781645	3.6	2.491
Ca	42.4559675	17.4	3.193
Sc	24.659485	54.2	3.097
Ti	17.25710	114.4	3.714
V	13.728715	185.5	4.379
Cr	11.869825	161.8	6.665
Mn	11.7457075	126.6	1.116
Fe	11.47821	196.7	5.034
Co	10.92076	212.4	4.997
Ni	10.917165	203.6	4.602
Cu	12.10043	139.4	4.594
Zn	15.250395	75.1	4.797
Ga	20.5235275	50.3	5.242
Ge	23.97874	60.1	4.84
As	22.63640167	68.9	4.434
Se	29.74922	47.2	4.607
Br	40.38160	20.8	4.658
Kr	65.5831675	0.8	13.16
Rb	91.17160	2.7	3.056
Sr	55.153755	11.2	3.684
Zr	23.45848	94.9	3.384
Nb	18.23163	174.2	3.783
Mo	15.88840	263.7	4.375
Ru	14.090235	310.9	4.874
Rh	14.32131	255.2	5.424
Pd	15.41478	167.3	5.975
Ag	18.06730	90.7	5.52
Cd	22.874845	43.3	6.282
In	27.532555	35.1	5.603
Sn	36.898715	36.0	4.899
Te	34.17082	46.1	4.812
I	51.1544275	17.6	4.878
Cs	117.011065	2.1	3.588
Ba	63.514265	8.9	2.947
Ta	18.52337	198.4	3.991
W	16.439925	307.5	4.351
Os	14.517185	397.9	4.975
Ir	14.69880	351.6	5.385
Pt	15.7896425	247.6	5.666
Au	18.20748	137.8	5.772
Pb	32.10255	39.1	5.556
Bi	36.97299	42.9	4.761

