# Vasp collinear results for delta factor
# Symbol    Volume    b0_GPa   b1
H      17.4004  10.2231   3.5480
He     18.1745   0.8235   2.4352
Li     20.2716  14.2225   4.2964
Be      7.9319 123.9925   2.6954
C      11.6664 207.4084   3.4620
N      29.6842  56.5980   3.8771
O      18.8628 451.8154  59.7569
F      19.5640  33.8869   4.0000
Ne     24.5982   0.8569 -10.9914
Na     37.0868   7.7309   4.2912
Mg     22.9667  36.2131   3.8008
Al     16.4866  76.6320   4.6757
Si     20.4412  88.5560   4.5652
P      21.3510  68.4749   4.5832
Cl     38.2130  19.1114   4.4773
Ar     51.9759   1.2242 -27.3193
K      73.2634   4.0635  11.2689
Ca     42.3052  17.2679   3.2883
Sc     24.6782  52.3570   2.0520
V      13.4773 181.8228   4.0073
Mn     10.8885 349.0866   7.5991
Co     10.7618 1563.8405  41.8736
Ni     10.8585 201.4412   4.8201
Cu     12.0039 137.8955   5.3604
Zn     15.2942  74.1369   5.1492
Ge     23.9315  56.7346   5.2384
As     22.6822  68.4323   4.7258
Se     29.8161  47.0713   4.8727
Kr     67.7443  10.2561 -21.9514
Rb     91.2068   2.8074   3.5770
Sr     54.6245  10.5058   5.9833
Y      32.9168  41.5606   3.3388
Zr     23.5340  93.7905   3.2980
Nb     18.3385 171.8841   3.9569
Mo     15.9177 263.3987   4.5505
Tc     14.5961 298.6962   4.7233
Ru     13.9363 309.3100   5.0677
Pd     15.4412 167.3090   5.9469
Ag     18.0417  88.7173   6.6235
Cd     23.0181  43.3095   7.7105
Sn     36.8220  36.8048   5.2349
Sb     31.7889  51.5937   4.2478
I      50.1303  18.6775   4.9416
Xe     85.0743   2.2441  36.0982
Ba     63.5480   8.8126   3.7648
Hf     22.4937 107.9136   3.4927
Ta     18.3241 194.1842   4.0679
W      16.2274 304.2408   4.1918
Os     14.3614 400.8751   4.9751
Ir     14.5662 346.1776   5.1563
Pt     15.7227 248.3719   5.4065
Au     18.1799 136.4463   5.8062
Hg     29.9417   7.1782  11.7902
Tl     31.5231  26.5347   5.6182
Pb     32.1008  40.2996   3.2424
Bi     36.8694  42.9266   4.7567
