# {"struct_type": "ABO3"}
# Perovskite testing data,,,,,(abinit)
Symbol,AE,GBRV_USPP,VASP,PSLIB,GBRV_PAW
SrLiF3,3.884,3.881,3.884,3.884,3.883
NaNbO3,3.981,3.981,3.976,3.980,3.980
KMgF3,4.059,4.057,4.062,4.052,4.059
CsMgF3,4.258,4.255,4.261,4.255,4.255
MgTiO3,3.839,3.840,3.839,3.839,3.840
CaTiO3,3.886,3.887,3.888,3.886,3.887
SrTiO3,3.941,3.942,3.943,3.942,3.941
BaTiO3,4.024,4.031,4.035,4.030,4.029
BiScO3,4.074,4.074,4.079,4.076,4.075
BiYO3,4.335,4.334,4.331,4.343,4.334
SrVO3,3.862,3.863,3.866,3.865,3.862
SrCrO3,3.820,3.821,3.819,3.824,3.821
SrMnO3,3.799,3.800,3.798,3.802,3.799
SrFeO3,3.801,3.802,3.802,3.808,3.807
SrCoO3,3.811,3.810,3.812,3.815,3.812
SrNiO3,3.843,3.842,3.849,3.846,3.845
KNiF3,4.039,4.036,4.036,4.037,4.035
KCuF3,4.085,4.084,4.084,4.092,4.083
KZnF3,4.132,4.133,4.139,4.130,4.134
SrZrO3,4.176,4.175,4.177,4.187,4.175
SrNbO3,4.067,4.066,4.064,4.066,4.065
SrMoO3,4.002,4.001,4.003,4.001,4.000
SrTcO3,3.967,3.968,3.966,3.965,3.966
SrRuO3,3.959,3.959,3.956,3.958,3.957
SrRhO3,3.982,3.987,3.981,3.988,3.983
KPdF3,4.312,4.314,4.309,4.313,4.306
SrAgF3,4.536,4.535,4.535,4.540,4.531
KCdF3,4.463,4.471,4.477,4.458,4.472
LaAlO3,3.816,3.819,3.822,3.829,3.820
SrHfO3,4.155,4.148,4.146,4.133,4.141
SrTaO3,4.066,4.067,4.067,4.050,4.070
SrWO3,4.014,4.020,4.019,4.012,4.014
SrReO3,3.986,3.989,3.997,3.991,3.989
SrOsO3,3.982,3.983,3.992,3.986,3.979
SrIrO3,3.994,3.996,4.006,4.009,3.994
SrPtO3,4.040,4.039,4.039,4.064,4.037
BiAuO3,4.151,4.152,4.147,4.170,4.150
KHgF3,4.594,4.602,4.608,4.587,4.593
TlCTi3,4.263,4.261,4.260,4.257,4.261
LaBRh3,4.288,4.283,4.287,4.304,4.284
BiAlO3,3.797,3.800,3.795,3.795,3.801
BiInO3,4.170,4.175,4.178,4.179,4.179
SrSiO3,3.695,3.695,3.698,3.694,3.693
SrGeO3,3.855,3.860,3.860,3.862,3.858
SnTiO3,3.949,3.950,3.949,3.950,3.949
PbTiO3,3.971,3.970,3.971,3.971,3.971
PNCa3,4.725,4.721,4.728,4.714,4.722
AsNCa3,4.769,4.766,4.772,4.759,4.766
SbNCa3,4.872,4.868,4.875,4.862,4.868
SrTiS3,4.786,4.781,4.785,4.782,4.782
SrTiSe3,5.030,5.029,5.033,5.032,5.029
BaZrTe3,5.681,5.679,5.684,5.692,5.680
KMgCl3,5.028,5.024,5.026,5.018,5.026
CsPbBr3,5.994,5.999,6.003,6.009,6.000
CsPbI3,6.383,6.393,6.396,6.397,6.393
