# {"struct_type": "bcc"}
# bcc testing data,,Please see supplementary materials for details.,,,
Symbol,AE,GBRV_USPP,VASP,PSLIB,GBRV_PAW
H,1.806,1.807,1.807,1.806,1.807
Li,3.427,3.425,3.429,3.454,3.426
Be,2.506,2.514,2.508,2.501,2.508
B,2.323,2.325,2.323,2.322,2.324
C,2.366,2.366,2.367,2.365,2.365
O,2.511,2.511,2.508,2.508,2.508
N,-,2.456,2.449,2.449,2.454
F,2.730,2.714,2.717,2.720,2.714
Na,4.199,4.196,4.205,4.195,4.194
Mg,3.581,3.582,3.582,3.577,3.585
Al,3.242,3.242,3.242,3.239,3.241
Si,3.080,3.076,3.078,3.075,3.076
P,-,3.060,3.043,3.041,3.060
S,3.182,3.178,3.180,3.175,3.179
Cl,3.501,3.491,3.492,3.488,3.493
K,5.294,5.279,5.285,5.281,5.282
Ca,4.400,4.392,4.396,4.386,4.393
Sc,3.680,3.679,3.683,3.681,3.681
Ti,3.259,3.258,3.255,3.249,3.258
V,3.006,3.003,3.005,3.006,3.003
Cr,2.851,2.849,2.848,2.861,2.850
Mn,2.784,2.784,2.783,2.788,2.784
Fe,2.762,2.762,2.758,2.770,2.763
Co,2.762,2.761,2.761,2.766,2.762
Ni,2.793,2.790,2.794,2.795,2.789
Cu,2.885,2.886,2.885,2.896,2.885
Zn,3.128,3.128,3.130,3.127,3.132
Ga,3.364,3.366,3.364,3.369,3.367
Ge,3.397,3.396,3.397,3.396,3.395
As,3.383,3.386,3.385,3.383,3.386
Se,3.460,3.456,3.459,3.463,3.457
Br,3.765,3.762,3.762,3.765,3.762
Rb,5.680,5.659,5.665,5.659,5.660
Sr,4.756,4.750,4.749,4.748,4.748
Y,4.044,4.040,4.040,4.042,4.040
Zr,3.569,3.566,3.568,3.572,3.566
Nb,3.309,3.306,3.307,3.308,3.307
Mo,3.166,3.160,3.164,3.162,3.161
Tc,3.082,3.080,3.085,3.082,3.080
Ru,3.058,3.054,3.056,3.057,3.055
Rh,3.071,3.069,3.069,3.075,3.073
Pd,3.137,3.136,3.135,3.141,3.132
Ag,3.299,3.299,3.303,3.304,3.300
Cd,3.628,3.629,3.632,3.612,3.626
In,3.827,3.831,3.826,3.825,3.827
Sn,3.823,3.825,3.823,3.829,3.821
Sb,3.807,3.809,3.805,3.787,3.804
Te,3.867,3.865,3.865,3.877,3.865
I,4.149,4.149,4.151,4.144,4.149
Cs,6.172,6.147,6.145,6.161,6.145
Ba,5.023,5.018,5.023,5.023,5.017
La,4.235,4.239,4.248,4.297,4.234
Hf,3.551,3.554,3.549,3.548,3.553
Ta,3.333,3.331,3.332,3.327,3.332
W,3.188,3.187,3.187,3.190,3.186
Re,3.118,3.115,3.120,3.119,3.116
Os,3.096,3.091,3.099,3.103,3.090
Ir,3.113,3.107,3.110,3.118,3.108
Pt,3.166,3.160,3.165,3.176,3.160
Au,3.306,3.302,3.304,3.316,3.304
Hg,-,-,-,-,-
Tl,3.977,3.980,3.975,3.974,3.975
Pb,4.008,4.003,4.007,4.007,4.007
Bi,3.984,3.981,3.982,3.979,3.984
