# {"struct_type": "fcc"}
#fcc testing data,,Please see supplementary materials for details.,,,
Symbol,AE,GBRV_USPP,VASP,PSLIB,GBRV_PAW
H,2.283,2.284,2.283,2.284,2.284
Li,4.335,4.332,4.336,4.359,4.333
Be,3.166,3.175,3.170,3.160,3.168
B,2.872,2.873,2.872,2.871,2.873
C,3.103,3.103,3.104,3.103,3.102
O,3.178,3.175,3.172,3.172,3.176
N,-,3.123,3.117,3.117,3.122
F,3.447,3.430,3.433,3.433,3.429
Na,5.294,5.294,5.292,5.294,5.290
Mg,4.526,4.527,4.530,4.521,4.531
Al,4.043,4.043,4.044,4.040,4.043
Si,3.857,3.853,3.859,3.852,3.854
P,-,3.917,3.893,3.889,3.917
S,3.994,3.992,3.993,3.988,3.993
Cl,4.409,4.396,4.395,4.392,4.398
K,6.684,6.668,6.670,6.667,6.668
Ca,5.532,5.523,5.529,5.514,5.524
Sc,4.622,4.621,4.624,4.623,4.624
Ti,4.114,4.114,4.110,4.105,4.114
V,3.822,3.820,3.823,3.824,3.821
Cr,3.630,3.629,3.625,3.634,3.630
Mn,3.503,3.502,3.501,3.508,3.502
Fe,3.449,3.451,3.447,3.457,3.453
Co,3.457,3.455,3.457,3.463,3.457
Ni,3.515,3.511,3.516,3.517,3.511
Cu,3.638,3.639,3.641,3.654,3.638
Zn,3.936,3.936,3.939,3.931,3.940
Ga,4.240,4.244,4.242,4.247,4.244
Ge,4.283,4.282,4.283,4.283,4.281
As,4.272,4.276,4.273,4.272,4.276
Se,4.337,4.332,4.335,4.341,4.333
Br,4.732,4.726,4.726,4.731,4.727
Rb,7.183,7.155,7.160,7.155,7.156
Sr,6.030,6.022,6.022,6.020,6.020
Y,5.062,5.057,5.055,5.060,5.057
Zr,4.522,4.520,4.521,4.527,4.520
Nb,4.217,4.214,4.215,4.217,4.215
Mo,4.007,4.002,4.008,4.005,4.003
Tc,3.875,3.872,3.876,3.874,3.872
Ru,3.809,3.806,3.808,3.809,3.806
Rh,3.836,3.836,3.834,3.842,3.838
Pd,3.951,3.951,3.951,3.956,3.947
Ag,4.158,4.161,4.165,4.167,4.162
Cd,4.511,4.512,4.515,4.491,4.507
In,4.795,4.800,4.797,4.793,4.794
Sn,4.824,4.826,4.824,4.830,4.821
Sb,4.805,4.808,4.802,4.782,4.802
Te,4.840,4.840,4.837,4.854,4.839
I,5.201,5.195,5.198,5.192,5.195
Cs,7.821,7.789,7.794,7.808,7.787
Ba,6.347,6.338,6.345,6.344,6.337
La,5.267,5.277,5.290,5.387,5.267
Hf,4.488,4.491,4.483,4.483,4.490
Ta,4.235,4.232,4.235,4.227,4.234
W,4.041,4.042,4.042,4.046,4.040
Re,3.917,3.915,3.919,3.919,3.916
Os,3.858,3.855,3.861,3.861,3.855
Ir,3.881,3.875,3.877,3.888,3.875
Pt,3.970,3.964,3.970,3.984,3.965
Au,4.168,4.163,4.166,4.180,4.165
Hg,-,-,-,-,-
Tl,4.996,5.004,4.997,4.962,4.999
Pb,5.045,5.039,5.044,5.044,5.044
Bi,5.038,5.035,5.035,5.041,5.039
