# {"struct_type": "hH"}
# Half-Heusler testing data,,,,,(abinit),,,
Symbol,AE,GBRV_USPP,VASP,PSLIB,GBRV_PAW
AgAlGe,6.224,6.220,6.223,6.221,6.218
AgAlSn,6.595,6.594,6.596,6.600,6.589
AgCaBi,7.161,7.155,7.163,7.153,7.160
AgYSi,6.501,6.496,6.499,6.502,6.496
AlBeB,4.963,4.966,4.964,4.958,4.964
AlLiGe,6.022,6.015,6.014,6.017,6.014
AlLiSi,5.931,5.933,5.936,5.938,5.936
AuLiSb,6.449,6.440,6.431,6.450,6.438
BaZnTi,6.946,6.955,6.982,6.967,6.956
BeScB,5.321,5.317,5.324,5.318,5.322
BiMgCu,6.444,6.438,6.440,6.444,6.444
BiScNi,6.271,6.261,6.265,6.267,6.266
BiYNi,6.502,6.494,6.495,6.501,6.496
BiYPd,6.736,6.731,6.734,6.738,6.733
BiZrCo,6.235,6.225,6.226,6.236,6.228
BiZrNi,6.300,6.288,6.291,6.299,6.290
CaZnSn,6.923,6.923,6.928,6.924,6.919
CaZnZr,6.834,6.823,6.834,6.829,6.823
CdPLi,5.969,5.955,5.952,5.945,5.957
CoMnSb,5.835,5.833,5.824,5.851,5.833
CoNbSn,6.186,6.176,6.175,6.186,6.177
CoSnMo,6.107,6.096,6.099,6.105,6.097
CoSnNb,6.222,6.211,6.211,6.218,-
CoSnTc,6.034,6.023,6.024,6.032,6.022
CoSnTi,6.121,6.115,6.115,6.118,6.117
CoZrSb,6.328,6.320,6.319,6.333,6.320
CrSbNi,5.803,5.805,5.800,5.814,5.805
CsZnBi,8.016,8.002,8.018,8.043,8.007
CuAlGe,5.920,5.912,5.910,5.916,5.909
CuAlSn,6.332,6.327,6.325,6.337,6.321
CuMgAs,6.057,6.057,6.052,6.057,6.057
CuMgSn,6.436,6.432,6.433,6.439,6.425
CuScSn,6.461,6.456,6.459,6.467,6.451
CuYSi,6.310,6.302,6.302,6.312,6.300
CuYSn,6.732,6.729,6.728,6.741,6.723
FeSnTi,6.118,6.115,6.111,6.119,6.118
InLiGe,6.398,6.397,6.394,6.397,6.394
IrMnSn,6.044,6.033,6.032,6.050,6.030
KZnBi,7.428,7.418,7.426,7.432,7.425
LiAlSn,6.459,6.454,6.453,6.459,6.451
LiAuS,6.015,5.994,5.993,6.008,5.995
LiBaP,7.139,7.148,7.164,7.158,7.150
LiCaP,6.497,6.492,6.498,6.491,6.494
LiCGa,5.088,5.091,5.091,5.100,5.094
LiCuS,5.578,5.576,5.574,5.594,5.577
LiCuSe,5.863,5.859,5.858,5.880,5.858
