# {"struct_type": "rocksalt"}
# NaCl testing data,,,,,(abinit)
Symbol,AE,GBRV_USPP,VASP,PSLIB,GBRV_PAW
LiCl,5.161,5.151,5.150,5.160,5.153
NaCl,5.714,5.701,5.701,5.696,5.702
KCl,6.391,6.382,6.391,6.384,6.384
RbCl,6.710,6.698,6.705,6.701,6.700
CsCl,7.088,7.072,7.085,7.088,7.072
BeO,3.650,3.653,3.654,3.638,3.648
MgO,4.259,4.259,4.261,4.250,4.261
CaO,4.839,4.834,4.842,4.828,4.834
SrO,5.204,5.198,5.208,5.201,5.198
BaO,5.590,5.597,5.617,5.603,5.593
ScN,4.516,4.514,4.519,4.516,4.517
YN,4.911,4.908,4.906,4.915,4.909
LaN,5.314,5.314,5.328,5.349,5.317
TiO,4.288,4.288,4.288,4.283,4.288
VO,4.192,4.190,4.191,4.192,4.189
CrO,4.139,4.139,4.134,4.142,4.139
MnO,4.108,4.110,4.103,4.110,4.108
FeO,4.096,4.103,4.092,4.103,4.105
CoO,4.106,4.108,4.102,4.108,4.110
NiO,4.166,4.170,4.167,4.169,4.166
CuO,4.248,4.250,4.246,4.260,4.248
ZnO,4.332,4.338,4.340,4.330,4.339
ZrO,4.608,4.605,4.607,4.621,4.604
NbO,4.476,4.474,4.471,4.475,4.474
MoO,4.419,4.417,4.419,4.417,4.416
TcO,4.398,4.396,4.394,4.394,4.394
RuO,4.411,4.408,4.405,4.408,4.407
RhO,4.450,4.455,4.449,4.455,4.458
PdO,4.544,4.550,4.541,4.547,4.540
AgO,4.677,4.680,4.675,4.684,4.675
CdO,4.774,4.783,4.785,4.762,4.782
HfO,4.611,4.596,4.584,4.574,4.586
TaO,4.506,4.503,4.504,4.483,4.505
WO,4.466,4.470,4.467,4.466,4.464
ReO,4.455,4.459,-,4.461,4.458
OsO,4.487,4.487,4.497,4.492,4.483
IrO,4.542,4.540,4.545,4.548,4.542
PtO,4.624,4.621,4.622,4.637,4.621
AuO,4.759,4.754,4.752,4.769,4.755
HgO,4.929,4.933,4.938,4.913,4.923
BN,3.506,3.506,3.505,3.504,3.506
AlN,4.073,4.079,4.070,4.068,4.079
GaN,4.269,4.275,4.274,4.285,4.277
InN,4.708,4.713,4.711,4.714,4.716
TlN,4.957,4.963,4.963,4.968,4.959
CO,3.977,3.982,3.974,3.972,3.980
SiO,4.616,4.617,4.615,4.612,4.617
GeO,4.773,4.775,4.773,4.772,4.774
SnO,5.120,5.122,5.119,5.125,5.119
PbO,5.269,5.263,5.266,5.268,5.265
AlN,4.073,4.079,4.070,4.068,4.079
AlP,5.075,5.077,5.072,5.068,5.078
AlAs,5.303,5.307,5.298,5.301,5.306
AlSb,5.774,5.761,5.765,5.752,5.759
AlBi,5.987,5.976,5.977,5.976,5.977
SrS,6.063,6.057,6.065,6.060,6.058
SrSe,6.301,6.297,6.304,6.300,6.296
SrTe,6.724,6.720,6.726,6.728,6.721
LiF,4.076,4.074,4.067,4.081,4.076
LiBr,5.521,5.512,5.511,5.524,5.512
LiI,6.038,6.020,6.021,6.030,6.023
NaF,4.711,4.717,4.708,4.705,4.713
NaBr,6.049,6.040,6.040,6.037,6.040
NaI,6.540,6.534,6.537,6.529,6.536
