# acell vs RE cations Rocksalt Nitrides   
# atom Z exp VASP VASP@600eV VASP@800eV VASP@1000eV           Wien2k                Vlab 
La 57 5.29  na          na          na          na            5.3159555052276195    5.316378846996155
Ce 58 5.00  5.283150396 5.281277518 5.282280786 5.283150396   5.059569146658004     5.059410393494804
Pr 59 5.15  5.219116722 5.217311062 5.218260692 5.219116722   5.074174437672497     5.074703614883166
Nd 60 5.12  5.164024692 5.162338510 5.163217822 5.164024692   5.102538336164408     5.102961677932944
Pm 61 na    5.109992248 5.108177974 5.109086860 5.109992248   5.039566248094679     5.039725001257879
Sm 62 5.048 5.070511806 5.068804020 5.069753536 5.070511806   5.0365499379938585    5.037290786088797
Eu 63 5.007 5.024892920 5.023170494 5.024123304 5.024892920   5.050202710029145     5.051049393566217
Gd 64 4.999 4.981262384 4.979607452 4.980460816 4.981262384   4.990458602944502     4.9910406978762385
Tb 65 4.933 4.944227532 4.942532546 4.943467464 4.944227532   4.907536534032513     4.907906958079982
Dy 66 4.905 4.909344934 4.907523356 4.908418450 4.909344934   4.888697825332661     4.8896503443118675
Ho 67 4.874 4.876002810 4.874338764 4.875212402 4.876002810   4.880760167172611     4.880866002614745
Er 68 4.835 4.844670326 4.842960904 4.843762482 4.844670326   4.849432876300947     4.850491230722287
Tm 69 4.809 4.813206964 4.811536888 4.812411406 4.813206964   4.8220744145093075    4.822021496788241
Yb 70 4.785 na na na na                                       4.804664484278264     4.8054582500942695
Lu 71 4.766 4.753036418 4.751508916 4.752390372 4.753036418   4.7680454212999015    4.768310009905236
