# acell vs RE cations Rocksalt Nitrides   
# atom Z  exp   VASP   ONCVPSP VLab    JTH 
#                      
La 57 5.29  5.265 5.252 na    na
Ce 58 5.00  5.220 5.241 5.236 5.230
Pr 59 5.15  5.159 5.171 5.169 5.203
Nd 60 5.12  5.106 5.113 5.110 5.143
Pm 61 na    5.051 5.061 5.058 5.091
Sm 62 5.048 5.012 5.012 5.012 5.044
Eu 63 5.007 4.968 4.970 4.971 5.011 
Gd 64 4.999 4.924 na    4.928 4.972
Tb 65 4.933 4.888 4.890 4.887 4.902
Dy 66 4.905 4.853 4.854 4.853 4.896
Ho 67 4.874 4.820 4.819 4.818 4.841
Er 68 4.835 4.789 4.785 4.783 4.801
Tm 69 4.809 4.757 4.753 4.752 4.768
Yb 70 4.785 na    4.730 4.724 4.745
Lu 71 4.766 4.698 4.692 4.689 4.669
